ID,event,x pos,y pos,dist
1,unnamed_event_13,241.69,250.57,1.5
2,unnamed_event_13,208.44,247.89,1.5
3,unnamed_event_13,191.25,260.1,1.5
4,unnamed_event_13,224.56,260.16,1.5
5,unnamed_event_8,255.1,226.76,1.5
6,unnamed_event_8,223.39,194.7,1.5
7,unnamed_event_13,198.61,170.47,1.5
8,unnamed_event_8,146.75,207.66,1.5
9,unnamed_event_8,135.57,189.28,1.5
10,unnamed_event_8,114.74,202.89,1.5
11,unnamed_event_8,103.41,199.69,1.5
12,unnamed_event_13,105.89,210.34,1.5
13,unnamed_event_13,95.28,193.12,1.5
14,unnamed_event_8,118.03,180.05,1.5
15,unnamed_event_13,108.81,176.47,1.5
16,unnamed_event_13,76.07,230.65,1.5
17,unnamed_event_8,90.3,232.61,1.5
18,unnamed_event_8,70.53,235.83,1.5
19,unnamed_event_8,70.81,200.67,1.5
20,unnamed_event_8,58.84,202.04,1.5
21,unnamed_event_8,55.24,193.42,1.5
22,unnamed_event_8,156.39,179.03,1.5
23,unnamed_event_13,149.34,175.45,1.5
24,unnamed_event_8,32.67,168.29,1.5
25,unnamed_event_8,26.66,168.5,1.5
26,unnamed_event_13,34.65,177.41,1.5
27,unnamed_event_13,23.48,161.8,1.5
28,unnamed_event_8,-1.13,207.2,1.5
29,unnamed_event_8,-0.98,175.76,1.5
30,unnamed_event_13,-7.19,145.64,1.5
31,unnamed_event_13,-69.45,148.71,1.5
32,unnamed_event_13,-55.03,138.81,1.5
33,unnamed_event_8,-47.79,96.86,1.5
34,unnamed_event_8,-58.51,99.39,1.5
35,unnamed_event_8,-67.73,116.36,1.5
36,unnamed_event_8,-82.87,117.56,1.5
37,unnamed_event_8,-94.15,116.19,1.5
38,unnamed_event_8,-91.41,97.28,1.5
39,unnamed_event_13,-101.11,93.28,1.5
40,unnamed_event_13,-51.81,71.07,1.5
41,unnamed_event_13,-93.96,123.05,1.5
42,unnamed_event_8,-109.06,191.25,1.5
43,unnamed_event_8,-120.4,52.82,1.5
44,unnamed_event_8,-122.17,143.59,1.5
45,unnamed_event_8,-144.77,34.27,1.5
46,unnamed_event_8,-145.59,45.29,1.5
47,unnamed_event_13,320.29,-52.63,1.5
48,unnamed_event_8,-78.09,23.5,1.5
49,unnamed_event_8,-85.01,5.72,1.5
50,unnamed_event_8,-75.4,-18.67,1.5
51,unnamed_event_8,-72.31,-26.36,1.5
52,unnamed_event_8,-78.64,-89.06,1.5
53,unnamed_event_13,-71.76,-89.12,1.5
54,unnamed_event_13,-89.63,-88.23,1.5
55,unnamed_event_8,-85.56,-40.97,1.5
56,unnamed_event_13,-99.47,-128.9,1.5
57,unnamed_event_8,-92.02,-116.47,1.5
58,unnamed_event_8,-188.23,-189.51,1.5
59,unnamed_event_8,-177.43,-172.1,1.5
60,unnamed_event_8,-167.54,-168.62,1.5
61,unnamed_event_8,-139.88,-166.69,1.5
62,unnamed_event_13,-177.45,-204.54,1.5
63,unnamed_event_13,-162.15,-144.98,1.5
64,unnamed_event_8,-151.69,-75.22,1.5
65,unnamed_event_8,-152.69,-64.74,1.5
66,unnamed_event_8,-169.84,-105.92,1.5
67,unnamed_event_13,-159.51,-93.27,1.5
68,unnamed_event_13,-96.25,-144.37,1.5
69,unnamed_event_8,-50.85,-22.67,1.5
70,unnamed_event_13,-57.43,-22.77,1.5
71,unnamed_event_13,-33.37,98.52,1.5
72,unnamed_event_13,243.65,226.62,1.5
73,unnamed_event_13,-151.84,-48.66,1.5
74,unnamed_event_8,-168.48,-42.98,1.5
75,unnamed_event_13,-182.19,-102.99,1.5
76,unnamed_event_13,-168.06,-183.71,1.5
77,unnamed_event_13,-75.02,-70.45,1.5
78,unnamed_event_13,-34.5,128.75,1.5
79,unnamed_event_8,-25.52,165.24,1.5
80,unnamed_event_8,-2.77,157.48,1.5
81,unnamed_event_8,-81.92,-76.22,1.5
82,unnamed_event_8,-61.44,65.88,1.5
83,unnamed_event_8,-22.09,200.86,1.5
84,unnamed_event_8,138.22,220.94,1.5
