ID,event,x pos,y pos,dist
18,unnamed_event_8,-287.5,116.59,1.5
19,unnamed_event_8,-283.77,66.98,1.5
20,unnamed_event_12,-295.21,24.29,1.5
21,unnamed_event_8,-242.19,41.79,1.5
22,unnamed_event_12,-242.53,120.06,1.5
23,unnamed_event_12,-230.27,-33.42,1.5
24,unnamed_event_12,-181.07,-50.46,1.5
25,unnamed_event_12,-206.44,-30.26,1.5
81,unnamed_event_24,-121.82,22.53,1.5
82,unnamed_event_24,-140,37.04,1.5
83,unnamed_event_24,-150.5,13.11,3
84,unnamed_event_24,-153.11,-229.79,1.5
85,unnamed_event_24,-133.22,-197.35,1.5
86,unnamed_event_24,-104.48,-206.23,1.5
87,unnamed_event_24,-118.88,-213.18,1.5
88,unnamed_event_24,-85,-116,3
89,unnamed_event_24,-90.06,-123,3
90,unnamed_event_24,-135.41,-120.3,3
91,unnamed_event_24,-132.64,-151.5,3
92,unnamed_event_24,-112.66,-44.16,1.5
93,unnamed_event_24,-122.19,54.69,1.5
94,unnamed_event_24,-104.83,11.1,1.5
95,unnamed_event_24,-99.24,108.21,1.5
